English,German
"Hello, how are you?","Hallo, wie geht es dir?"
Good morning!,Guten Morgen!
I love machine learning.,Ich liebe maschinelles Lernen.
What is your name?,Wie heißt du?
Nice to meet you.,"Freut mich, dich kennenzulernen."
Thank you very much.,Vielen Dank.
See you later.,Bis später.
I am learning to code.,Ich lerne zu programmieren.
This is a pen.,Das ist ein Stift.
How old are you?,Wie alt bist du?
Where is the nearest restaurant?,Wo ist das nächste Restaurant?
Can you help me?,Kannst du mir helfen?
I would like a cup of coffee.,Ich hätte gerne eine Tasse Kaffee.
What time is it?,Wie spät ist es?
I am from the United States.,Ich komme aus den Vereinigten Staaten.
Do you speak English?,Sprichst du Englisch?
I need some water.,Ich brauche etwas Wasser.
"Excuse me, where is the bathroom?","Entschuldigung, wo ist die Toilette?"
Happy birthday!,Alles Gute zum Geburtstag!
Good night.,Gute Nacht.
What are you doing?,Was machst du gerade?
I have a pet dog.,Ich habe einen Hund als Haustier.
Please call me later.,Bitte ruf mich später an.
The weather is nice today.,Das Wetter ist heute schön.
Let's go for a walk.,Lass uns spazieren gehen.
I am cooking dinner.,Ich koche Abendessen.
My favorite color is blue.,Meine Lieblingsfarbe ist blau.
How was your day?,Wie war dein Tag?
Are you coming with us?,Kommst du mit uns?
I need to buy groceries.,Ich muss Lebensmittel kaufen.
This book is interesting.,Dieses Buch ist interessant.
She likes to read books.,Sie liest gerne Bücher.
He is a good friend.,Er ist ein guter Freund.
Can you play the piano?,Kannst du Klavier spielen?
Do you have a phone charger?,Hast du ein Ladegerät?
I want to watch a movie.,Ich möchte einen Film ansehen.
She is going to the library.,Sie geht in die Bibliothek.
He works in an office.,Er arbeitet in einem Büro.
Please turn on the light.,Bitte mach das Licht an.
It is raining outside.,Es regnet draußen.
What is your favorite food?,Was ist dein Lieblingsessen?
Do you like coffee?,Magst du Kaffee?
I am looking for a job.,Ich suche einen Job.
The train is delayed.,Der Zug hat Verspätung.
I need to call my mom.,Ich muss meine Mutter anrufen.
Where is the closest bank?,Wo ist die nächste Bank?
I forgot my password.,Ich habe mein Passwort vergessen.
"Can I have the bill, please?",Kann ich bitte die Rechnung haben?
This pizza is delicious.,Diese Pizza ist lecker.
The car needs gas.,Das Auto braucht Benzin.
Do you need any help?,Brauchst du Hilfe?
I am reading a book.,Ich lese ein Buch.
She has a beautiful smile.,Sie hat ein schönes Lächeln.
He is a teacher.,Er ist Lehrer.
Please close the door.,Bitte schließe die Tür.
The flight was delayed.,Der Flug hatte Verspätung.
Can I borrow a pen?,Kann ich mir einen Stift leihen?
I am listening to music.,Ich höre Musik.
She is wearing a red dress.,Sie trägt ein rotes Kleid.
He likes to play soccer.,Er spielt gerne Fußball.
I don't understand this.,Ich verstehe das nicht.
Are you hungry?,Hast du Hunger?
The movie was amazing.,Der Film war großartig.
I am feeling tired.,Ich fühle mich müde.
She is very kind.,Sie ist sehr nett.
He is not here yet.,Er ist noch nicht hier.
Where did you go?,Wo bist du gewesen?
What are you studying?,Was studierst du?
I will be back soon.,Ich komme bald zurück.
Can you hear me?,Kannst du mich hören?
I am a student.,Ich bin ein Student.
Please wait here.,Bitte warte hier.
This cake is sweet.,Dieser Kuchen ist süß.
Do you know the answer?,Kennst du die Antwort?
I don't feel well.,Mir geht es nicht gut.
Where do you live?,Wo wohnst du?
The show starts at 8 PM.,Die Show beginnt um 20 Uhr.
What is the weather like?,Wie ist das Wetter?
I need a new phone.,Ich brauche ein neues Telefon.
The coffee is too hot.,Der Kaffee ist zu heiß.
I am writing an email.,Ich schreibe eine E-Mail.
She is my best friend.,Sie ist meine beste Freundin.
He has a new car.,Er hat ein neues Auto.
What time is lunch?,Wann gibt es Mittagessen?
I love to travel.,Ich liebe es zu reisen.
This place is beautiful.,Dieser Ort ist schön.
I am learning a new language.,Ich lerne eine neue Sprache.
Please help me with this.,Bitte hilf mir dabei.
She has a cat.,Sie hat eine Katze.
He is very tall.,Er ist sehr groß.
I forgot my keys.,Ich habe meine Schlüssel vergessen.
Do you have any siblings?,Hast du Geschwister?
This is my first time here.,Das ist mein erstes Mal hier.
The sunset is beautiful.,Der Sonnenuntergang ist schön.
I am going home now.,Ich gehe jetzt nach Hause.
Please take a seat.,Bitte nimm Platz.
Can you pass the salt?,Kannst du mir das Salz reichen?
I am working on a project.,Ich arbeite an einem Projekt.
The beach is crowded.,Der Strand ist überfüllt.
I will call you tomorrow.,Ich rufe dich morgen an.
Where is my bag?,Wo ist meine Tasche?
The food is spicy.,Das Essen ist scharf.
I am waiting for you.,Ich warte auf dich.
